video_id,trending_date,title,channel_title,category_id,publish_time,tags,views,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,video_error_or_removed,description
Cd2Ue_xw1oo,18.25.01,John Varvatos Spring/Summer 2018 Campaign Featuring Nick Jonas #JVxNJ,John Varvatos,24,2018-01-22T02:28:45.000Z,[none],3917,113,1,6,https://i.ytimg.com/vi/Cd2Ue_xw1oo/default.jpg,False,False,False,
lD0etN63KCg,17.30.11,RAINSFORD - Intentions feat. Twin Shadow [Official Music Video],Rainsford,10,2017-11-28T19:00:01.000Z,"rainsford|""rainey""|""rainey qualley""|""twin shadow""|""intentions""",6593,164,19,23,https://i.ytimg.com/vi/lD0etN63KCg/default.jpg,False,False,False,"RAINSFORD - Intentions feat. Twin Shadow OUT NOW: http://smarturl.it/RainsfordIntentions\n\nSUBSCRIBE HERE: http://www.youtube.com/user/rainsford...\n\nFollow Rainsford: \nhttps://twitter.com/itsRainsford\nhttps://www.instagram.com/emotionallotion/\n\nFollow Twin Shadow: \nhttps://www.facebook.com/twnshdw/\nhttps://twitter.com/Twinshadow\nhttps://www.instagram.com/thetwinshadow/\n\nFeaturing: Twin Shadow, Chelsea Lopez & Josh Alexander\nDirected by: Jason Brown\nProduced by: Rainsford & Jason Brown\nProduction Company: Corgan Pictures \n\nwww.corganpictures.com"
_Ihg1_3-0os,18.19.01,Remy Ma - Melanin Magic (Pretty Brown) (Audio) ft. Chris Brown,RemyMaVEVO,10,2018-01-19T05:01:01.000Z,"Columbia|""Hip Hop""|""Melanin Magic (Pretty Brown)""|""Remy Ma feat. Chris Brown""",9477,1392,63,569,https://i.ytimg.com/vi/_Ihg1_3-0os/default.jpg,False,False,False,Melanin Magic (Pretty Brown) ft. Chris Brown is out now! \n\nListen here: smarturl.it/MelaninMagic\n\nFollow Remy Ma: \nhttp://remymamusic.com\nhttps://twitter.com/realremyma\nhttp://instagram.com/remyma/\nhttps://www.facebook.com/RealRemyMa/
bozom9kH9pU,18.04.01,Les Amazones d'Afrique feat. Nneka - La Dame et Ses Valises (Audio),Real World Records,10,2017-10-20T08:00:01.000Z,"Les Amazones d'Afrique|""Nneka""|""Real World Records""|""Mali""|""West African music""|""World Music""|""Hip Hop""|""Angelique Kidjo""|""Mamani Keïta""|""Oumou Sangare""|""Rokia Koné""",14311,261,6,43,https://i.ytimg.com/vi/bozom9kH9pU/default.jpg,False,False,False,"Taken from the album République Amazone\nStream/purchase the album: http://smarturl.it/AmazonesdAfrique\n\nLes Amazones d’Afrique are an all-female collective of west African musicians, campaigning for gender equality. They have been described as a supergroup, and the characterisation seems apt. Angélique Kidjo, Kandia Kouyaté, Mamani Keita, Mariam Doumbia, Mariam Koné, Massan Coulibaly, Mouneissa Tandina, Nneka, Pamela Badjogo and Rokia Koné hold a strong pedigree, and it’s a rare opportunity to witness such a collaboration; the real sound of contemporary Africa.\n\nThe album showcases the sparkling range and versatility of its songstresses. Running on funk and blues with dabs of dub; ancient rhythms blending seamlessly with their western appropriated cousins, Les Amazones d'Afrique sound like an aural actuation of the new melting pot cities of the African continent."
gd5a6LUuU-w,17.09.12,Tom Thum - Human ft. Ruel,Tom Thum,10,2017-12-07T15:34:48.000Z,"Tom Thum|""Tom Thummer""|""Human Beatbox""|""Beatboxing""|""Beat""|""Vocal""|""Artist""|""Acapella""|""Song""|""Tune""|""Beatboxer""|""Mouthsounds""|""Microphone""|""Bass""|""Sound Effects""",18229,2525,12,354,https://i.ytimg.com/vi/gd5a6LUuU-w/default.jpg,False,False,False,"This is our take on the Rag n Bone Man classic, 'Human'. \n\nI’m vocally performing every layer of the song's instrumental while Ruel delivers the lead vocal. Every drum fill, bass swell, horn stab, and harmony layer created using nothing more than our voices.\n\nFilmed as part of YouTube Australia's Pop-Up Space in Sydney's AFTRS studios\nDirected by Tom Wilson\nDOP Steve Arnold\nAdditional footage by Nick Maquire\nEdited by Tom Thum\nAdditional editing by Timothy Adamson\n\nDownload/Stream 'Human' here: https://lnk.to/listentohumanWE\n\n‘Human ft. Ruel’\nProduced by Tom Thum\nRecorded by Tom Thum & Quinn\nMixed by Andrei Eremin\nMastered by Chris Gehringer\n\nSpecial thanks to Andrew Burford for your repitching prowess and the AFTRS crew.\n\nBig shout out to Rag n Bone Man for the banger! \n\nFollow Tom Thum: \nFacebook - http://www.facebook.com/tomthummer\nInstagram - http://instagram.com/illfiggram\nTwitter - http://twitter.com/TomThummer\n\nFollow Ruel: \nFacebook - https://www.facebook.com/oneruel\nInstagram - https://www.instagram.com/oneruel\nTwitter - https://twitter.com/oneruel\n\n\nNew videos added regularly so be sure to subscribe to keep in the know: http://smarturl.it/TomThumYT"
MKLlDnUqho4,17.15.11,Dead Beat Sirah ft. Skrillex (official video),SIRAH,10,2017-11-14T16:30:00.000Z,"Sirah|""Skrillex""|""Music""|""hip hop""|""female rapper""|""Demi Lovato""|""Owsla""|""Deadbeat""|""Dead Beat""",18317,1322,34,196,https://i.ytimg.com/vi/MKLlDnUqho4/default.jpg,False,False,False,Sirah's new single Dead Beat ft. Skrillex\n\nDirected & edited: David Forehand & Sirah\n@SirahSays\n@Gatewoodcreative \nGatewoodCreative@gmail.com\n\nAdditional Camera operation & Post-Production: David Fuesse\n@Davey_Creative\n\nProducer: Michael Hanson\n@preyforsummer\n\nHair & Makeup: @Beautysprotege\nStylist: @BellaBlase\nDancers: @akane5921\n@akaaari0209\n@maki_marumo\n@mami_sukee\n\nBest Friends in the video: @ddlovato\n@ruelia\n@rayventyler\n@BellaBlase\n@thedirtyhandsome
35m4leH72dA,18.12.01,"The Weeknd BLASTS H&M Over Racist 'Monkey' Ad Featuring Black Child, ENDS Partnership",Hollyscoop,24,2018-01-08T23:31:52.000Z,"the weeknd h&m|""the weeknd""|""h & m racist""|""the weeknt tweet""|""h&m""|""clothing""|""fashion""|""hoodie""|""the weeknd h\u0026m hoodie""|""entertainment news""|""hollyscoop""",20612,245,31,389,https://i.ytimg.com/vi/35m4leH72dA/default.jpg,False,False,False,"You will not be seeing The Weeknd featured in any of H&M's ads anytime soon, as he has not accepted their apology for a racist ad.  The singer has just made it clear that he has absolutely NO TIME for H&M and their attempt at saying sorry, by cutting ties with the retailer. Was it the right move, or was it a knee-jerk reaction? Let us know how you would have handled the controversy in the comments below.\n\nSubscribe ►► http://bit.ly/SubToHS\n\n\n\n\nGet the scoop - \nCheck out our site: http://www.obsev.com/entertainment\nLike us on Facebook: http://facebook.com/hollyscooptv\nFollow us on Twitter: http://twitter.com/hollyscoop\nFind us on Instagram: http://instagram.com/hollyscoop\n\nHollyscoop brings you the latest entertainment news and breaks down what's happening with the celebrities everyone is obsessing over, like Justin Bieber, Rihanna, Selena Gomez, Gigi Hadid, and more. We keep you up to date with the latest buzz out of Hollywood."
iCXQwI2Luw8,17.16.12,“Santa Baby” ft. Ciara | TARAJI’S WHITE HOT HOLIDAYS,Empire,24,2017-12-12T19:26:50.000Z,"Taraji White Hot Holiday|""Empire""|""Christmas""|""Kaitlin Doubleday""|""Taraji P. Henson""|""Grace Gealey""|""Trai Byers""|""Bryshere Gray""|""Jussie Smollett""|""Terrence Howard""|""lucious lyon""|""hakeem lyon""|""Jamal Lyon""|""Lee Daniels""|""Anika""|""soap opera""|""Gabourey Sidibe""|""Serayah""|""Kelly Rowland""|""lyon family""|""Danny Strong""|""mogul""|""CEO""|""Tiana""|""Camilla""|""Valentina""|""Laura""|""ALS""|""Tasha Smith""|""Carol Holloway""|""Andre Royo""|""Marisa Tomei""|""Mimi Whiteman""|""Santa Baby""|""Performance""|""saucy holiday""|""holiday song""|""Eartha Kitt""",22659,585,8,32,https://i.ytimg.com/vi/iCXQwI2Luw8/default.jpg,False,False,False,"A new spin on the saucy holiday song, Santa Baby.\n\nSubscribe now for more Empire clips: ‪http://fox.tv/SubscribeEMPIRE\n\nWatch Empire Season 4 videos: http://fox.tv/EmpireSeason4Playlist\nCatch full episodes now: http://fox.tv/WATCHempire\n\nSee more of Empire on our official site: http://fox.tv/Empire\nLike Empire on Facebook: http://fox.tv/Empire_FB\nFollow Empire on Twitter: http://fox.tv/Empire_Twitter\nFollow Empire on Instagram: http://fox.tv/Empire_IG\nFollow Empire on Tumblr: http://fox.tv/Empire_Tumblr\n\nLike FOX on Facebook: http://fox.tv/FOXTV_FB\nFollow FOX on Twitter: http://fox.tv/FOXTV_Twitter\nAdd FOX on Google+: http://fox.tv/FOXPlus\n\nEMPIRE returns at a new time on Wednesday, Sept. 27 (8:00-9:00 PM ET/PT) on FOX. On the Season Four premiere, Lucious makes his first public appearance after the explosion in Las Vegas, while all members of the Lyon family have their own interests in Lucious regaining his physical and mental faculties. Academy Award- and Golden Globe-winning actor, director and producer Forest Whitaker (“The Last King of Scotland,” “Arrival,” “Lee Daniels’ The Butler”) will guest-star in a multi-episode arc on EMPIRE, beginning this fall on FOX. Whitaker will play “Uncle Eddie,” a charismatic music icon and bonafide hitmaker, who gave an unknown Lucious (Terrence Howard) his first radio airplay. Decades later, Eddie steps up for Lucious at a critical moment during his rehabilitation, and a grateful Cookie (Taraji P. Henson) invites him to produce a song in celebration of Empire Entertainment’s 20th anniversary.\n\nEMPIRE is a powerful drama about a family dynasty set within the glamorous and sometimes dangerous world of hip-hop music. The show revolves around the Lyon family and their media company, Empire Entertainment. The founder, LUCIOUS LYON (Terrence Howard), is the king of hip-hop, but his company and reign are constantly threatened by his family, including his ex-wife, COOKIE LYON (Taraji P. Henson); his sons, JAMAL (Jussie Smollett), HAKEEM (Bryshere “Yazz” Gray) and ANDRE (Trai Byers); and a volatile and competitive music industry.\n\n“Santa Baby” ft. Ciara | TARAJI’S WHITE HOT HOLIDAYS\nhttps://www.youtube.com/EMPIREonFOX"
xArN1yUcXXc,17.26.11,FAIL COMPILATION - MASSIVE Chain Reaction goes UP the Stairs! ft. berlagawesome,Hevesh5,24,2017-11-25T18:00:04.000Z,"fail compilation|""domino fail""|""domino fail compilation""|""chain reaction""|""rube goldberg machine""|""marble run""|""marble machine""|""massive chain reaction""|""2 story chain reaction""|""domino fall""|""marble track""|""rube goldberg""|""chain reactions""|""domino""|""dominos""|""dominoes""|""hevesh5""|""domino tricks""|""insane domino tricks""|""Domino Rally (Brand)""|""amazing triple spiral""|""domino spiral""|""骨牌""|""ドミノ""|""Dominostein""|""домино""|""ντόμινο""|""각설탕""|""Pitagora""|""Suichi""|""ピタゴラスイッチ""",23108,1042,57,122,https://i.ytimg.com/vi/xArN1yUcXXc/default.jpg,False,False,False,"Fail compilation from berlagawesome's massive chain reaction that goes UP the stairs!\nWhat was your favorite fail? 😂 Watch the successful take here: https://youtu.be/HULgdt_vnVU\n20% OFF ALL MERCH UNTIL 11/27! ► http://hevesh5.com/store (get 'em in time for Christmas!!)\n\nPlease subscribe to Berlagawesome for all his hard work!! http://youtube.com/berlagawesome \nSpecial thanks to jackofallspades98 for filming: http://youtube.com/jackofallspades98\n\nWATCH MORE DOMINO VIDEOS HERE! 😊\n●YOUTUBERS in dominoes ➡️ http://bit.ly/2uRzTDf\n●My BEST domino projects ➡️ http://bit.ly/2swnIWN\n●Video games/movies in dominoes ➡️ http://bit.ly/2u8tZdx\n\nHey! I'm Hevesh5 and I am a professional Domino Artist. I design and build intricate domino setups and chain reactions for your entertainment and for commercial projects. Be sure to subscribe if you want to see more domino videos :) I upload new videos every SATURDAY at 1pm EST! http://bit.ly/SubH5\n\nFOLLOW ME HERE FOR MORE DOMINOES 😉\nInstagram ► http://instagram.com/Hevesh5\nTwitter ► http://twitter.com/Hevesh5 \nFacebook ► http://www.facebook.com/Hevesh5\n2nd Channel ► http://youtube.com/hevesh5extras\nOfficial Website ► http://hevesh5.com\nH5 shirts, signed dominoes, posters, & more! ► http://hevesh5.com/store/\nBusiness inquiries ► Hevesh5(at)gmail.com\n\nSong: LFZ - Echoes [NCS Release] \nMusic provided by NoCopyrightSounds: https://youtu.be/Q_ojhcx-wrk\nFortaleza from YouTube's Audio Library"
13hdKXfku4M,17.22.12,Count On Christmas Performance ft. Bebe Rexha | A CHRISTMAS STORY LIVE,FOX,24,2017-12-18T03:00:12.000Z,"a christmas story|""christmas""|""holidays""|""gifts""|""fox""|""william ivey long""|""chirstmas""|""best present""|""santa claus""|""holiday traditions""|""presents""|""Matthew Broderick""|""Jane Krakowski""|""Ralphie""|""You'll Shoot Your Eye Out""|""Red Ryder""|""Live""|""Miss Sheilds""|""Randy""|""Fragile""|""Scene""|""Christmas Story Live""|""Bebe Rexha""|""Count On Christmas""",26260,806,38,101,https://i.ytimg.com/vi/13hdKXfku4M/default.jpg,False,False,False,"A CHRISTMAS STORY LIVE starts out with this stellar performance of, Count On Christmas sung by Bebe Rexha.\n\nSubscribe now for more FOX clips: http://fox.tv/SubscribeFOX\n\nSee More A Christmas Story Live! On Our Official Website: http://fox.tv/AChristmasStoryLive\nLike A Christmas Story Live! on Facebook: http://fox.tv/2gGZ06d\nFollow Christmas Story Live! on Twitter: http://fox.tv/AChristmasStory_TW\nFollow Christmas Story Live! on Instagram: http://fox.tv/AChristmasStory_IG\n\nLike FOX on Facebook: http://fox.tv/FOXTV_FB\nFollow FOX on Twitter: http://fox.tv/FOXTV_Twitter\nAdd FOX on Google+: http://fox.tv/FOXPlus\n\nFrom Warner Horizon Unscripted & Alternative Television, A CHRISTMAS STORY LIVE! is inspired by the holiday classic feature “A Christmas Story” and the Tony Award-nominated Broadway production “A Christmas Story: The Musical.” Marc Platt (“Grease: Live,” “La La Land,” “Wicked”) and Adam Siegel (“Grease: Live”) will executive-produce, with Jonathan Tolins and Robert Cary (“Grease: Live,” “Anything but Love,” “Ira & Abby”) serving as co-executive producers and writers. Scott Ellis (the 2016 Broadway revival of “She Loves Me,” “Weeds”) is an executive producer and will serve as the director overseeing the stage direction. Alex Rudzinski (“Grease: Live,” “Dancing with the Stars”) is an executive producer and will serve as the live television director. Benj Pasek and Justin Paul (“Dear Evan Hansen,” “La La Land”) who composed the original score to “A Christmas Story: The Musical,” will compose several new songs for the LIVE television event airing Sunday, Dec. 17 (7:00-10:00 PM ET live/PT tape-delayed) on FOX.\n\nTwo-time Tony Award winner Matthew Broderick (“How to Succeed in Business Without Really Trying,” “The Producers,” “Manchester by the Sea”) will star as the narrator where he will play the grown-up “Ralphie Parker,” who looks back with love and humor on his favorite childhood Christmas. Broderick joins previously announced Emmy Award nominee Maya Rudolph (“Saturday Night Live,” “Bridesmaids”) in the three-hour live musical production. After a nationwide digital casting call, 11-year-old Andy Walken, from Seattle, WA, has been cast in the role of “Ralphie Parker. Tony Award winner Jane Krakowski (“Unbreakable Kimmy Schmidt,” “30 Rock”) and Emmy Award nominee Chris Diamantopoulos (“Good Girls Revolt,” “Silicon Valley,” “Episodes”) have been cast in featured roles.\n\nCount On Christmas Performance ft. Bebe Rexha | A CHRISTMAS STORY LIVE\nhttp://www.youtube.com/user/FoxBroadcasting"
